ITEM___1,ITEM___2,support___1,support___2,support___1_2,confidence___1_if_2,confidence___2_if_1
COCONUT OIL PKTYP (08/02),SPICES (03/04),4.20%,15.40%,1.10%,7.10%,25.60%
KETCHUPS/SAUCES,PACKAGED TEA,5.00%,13.30%,1.10%,8.20%,21.70%
KETCHUPS/SAUCES,REFINED EDIBLE OILS-ALL PACKS,5.00%,12.40%,1.10%,8.90%,22.00%
KETCHUPS/SAUCES,WASHING POWDERS/LIQUIDS,5.00%,14.40%,1.10%,7.70%,22.00%
PACKAGED PURE GHEE,REFINED EDIBLE OILS-ALL PACKS,4.90%,12.40%,1.10%,9.10%,23.00%
PACKAGED PURE GHEE,SALTY SNACKS (2/97),4.90%,20.10%,1.10%,5.60%,23.30%
PACKAGED PURE GHEE,TOILET SOAPS (04/00),4.90%,11.80%,1.10%,9.10%,22.00%
PACKAGED PURE GHEE,VERMICELLI & NOODLE,4.90%,17.20%,1.10%,6.40%,22.70%
AGARBATTI & DHOOPBATTI,BISCUITS - CORE & NON CORE,1.80%,47.50%,1.00%,2.20%,57.90%
ALL IODISED SALT,BUTTER MARGR  (4/94),6.80%,7.80%,1.00%,12.40%,14.20%
BISCUITS - CORE & NON CORE,DIAPERS       (8/93),47.50%,2.40%,1.00%,42.40%,2.10%
BISCUITS - CORE & NON CORE,HOME INSECTICIDES CTG  (8/93),47.50%,1.80%,1.00%,56.50%,2.10%
BISCUITS - CORE & NON CORE,SCOURING PADS/SCRUBS,47.50%,1.70%,1.00%,60.40%,2.10%
BREAKFAST CEREALS,PACKAGED TEA,4.90%,13.30%,1.00%,7.30%,19.70%
CHEESE        (4/94),PACKAGED TEA,3.70%,13.30%,1.00%,7.70%,27.50%
CHEESE        (4/94),SPICES (03/04),3.70%,15.40%,1.00%,6.80%,27.90%
CHOCOLATE,DETERGENT CAKES/BARS,18.00%,4.90%,1.00%,19.80%,5.40%
CHOCOLATE,PACKAGED PURE GHEE,18.00%,4.90%,1.00%,19.80%,5.40%
CLEANERS - FLOOR,REFINED EDIBLE OILS-ALL PACKS,4.20%,12.40%,1.00%,8.20%,24.00%
CLEANERS - FLOOR,TOOTH PASTES,4.20%,9.10%,1.00%,11.10%,24.00%
CLEANERS - FLOOR,VERMICELLI & NOODLE,4.20%,17.20%,1.00%,5.70%,23.20%
