ITEM___1,ITEM___2,support___1,support___2,support___1_2,confidence___1_if_2,confidence___2_if_1
DETERGENT CAKES/BARS,SQSH CRDLS & SFT DRNK-CONVERTD,4.90%,1.90%,0.20%,10.80%,4.20%
DETERGENT CAKES/BARS,TALCUM POWDERS,4.90%,1.70%,0.20%,13.80%,4.80%
DETERGENT CAKES/BARS,TOOTH BRUSH   (7/93),4.90%,1.60%,0.20%,11.80%,3.80%
DIAPERS       (8/93),PACKAGED ATTA (1/95),2.40%,8.70%,0.20%,2.00%,7.30%
DIAPERS       (8/93),TOOTH PASTES,2.40%,9.10%,0.20%,2.40%,9.30%
"FRAGRANCE-PERFUM,DEO & COLOGNE",REFINED EDIBLE OILS-ALL PACKS,1.70%,12.40%,0.20%,1.40%,10.00%
"FRAGRANCE-PERFUM,DEO & COLOGNE",SKIN CREAMS,1.70%,4.00%,0.20%,4.30%,10.00%
GLUCOSE POWDER & TABLET,SPICES (03/04),0.90%,15.40%,0.20%,1.20%,21.80%
GLUCOSE POWDER & TABLET,TOILET SOAPS (04/00),0.90%,11.80%,0.20%,1.30%,18.20%
GLUCOSE POWDER & TABLET,WASHING POWDERS/LIQUIDS,0.90%,14.40%,0.20%,1.20%,20.00%
HAIR CONDITIONERS,PACKAGED ATTA (1/95),0.90%,8.70%,0.20%,2.00%,19.00%
HAIR CONDITIONERS,PACKAGED TEA,0.90%,13.30%,0.20%,1.60%,24.10%
HAIR CONDITIONERS,SPICES (03/04),0.90%,15.40%,0.20%,1.10%,19.00%
HAIR CONDITIONERS,TOILET SOAPS (04/00),0.90%,11.80%,0.20%,2.00%,25.90%
HAIR CONDITIONERS,VERMICELLI & NOODLE,0.90%,17.20%,0.20%,1.30%,24.10%
HAIR DYES     (1/76),HAIR OILS PKTP(8/02),3.00%,3.00%,0.20%,6.70%,6.80%
HAIR DYES     (1/76),KETCHUPS/SAUCES,3.00%,5.00%,0.20%,3.10%,5.20%
HAIR DYES     (1/76),PACKAGED PURE GHEE,3.00%,4.90%,0.20%,3.20%,5.20%
HAIR DYES     (1/76),SCOURING PADS/SCRUBS,3.00%,1.70%,0.20%,9.40%,5.20%
HAIR DYES     (1/76),SHAMPOO - BY SEGMENTS,3.00%,4.30%,0.20%,5.10%,7.30%
HAIR OILS PKTP(8/02),KETCHUPS/SAUCES,3.00%,5.00%,0.20%,3.10%,5.20%
HAIR OILS PKTP(8/02),PACKAGED PURE GHEE,3.00%,4.90%,0.20%,3.20%,5.20%
HAIR OILS PKTP(8/02),PRE-POST WASH PRODUCTS,3.00%,3.30%,0.20%,6.50%,7.30%
HOME INSECTICIDES CTG  (8/93),KETCHUPS/SAUCES,1.80%,5.00%,0.20%,3.10%,8.70%
HOME INSECTICIDES CTG  (8/93),LIQUID TOILET SOAPS  (8/93),1.80%,2.30%,0.20%,7.50%,9.60%
HOME INSECTICIDES CTG  (8/93),PACKAGED ATTA (1/95),1.80%,8.70%,0.20%,2.10%,10.40%
JAMS/JELLY/MARMALADES-CTG,KETCHUPS/SAUCES,1.70%,5.00%,0.20%,4.00%,12.20%
KETCHUPS/SAUCES,LIQUID TOILET SOAPS  (8/93),5.00%,2.30%,0.20%,11.00%,5.00%
KETCHUPS/SAUCES,MOSQUITO REPELLANTS CTG (8/93),5.00%,1.90%,0.20%,9.20%,3.40%
KETCHUPS/SAUCES,SCOURING PADS/SCRUBS,5.00%,1.70%,0.20%,9.40%,3.10%
KETCHUPS/SAUCES,SKIN CREAMS,5.00%,4.00%,0.20%,5.50%,4.30%
LIQUID TOILET SOAPS  (8/93),PACKAGED PURE GHEE,2.30%,4.90%,0.20%,4.50%,9.60%
LIQUID TOILET SOAPS  (8/93),SHAMPOO - BY SEGMENTS,2.30%,4.30%,0.20%,4.00%,7.50%
LIQUID TOILET SOAPS  (8/93),SKIN CREAMS,2.30%,4.00%,0.20%,5.90%,10.30%
LIQUID TOILET SOAPS  (8/93),TOOTH BRUSH   (7/93),2.30%,1.60%,0.20%,9.80%,6.90%
MILK POWDERS,REFINED EDIBLE OILS-ALL PACKS,1.70%,12.40%,0.20%,1.50%,11.10%
MILK POWDERS,SKIN CREAMS,1.70%,4.00%,0.20%,4.30%,10.20%
MILK POWDERS,TOOTH PASTES,1.70%,9.10%,0.20%,2.60%,13.90%
MOSQUITO REPELLANTS CTG (8/93),PACKAGED PURE GHEE,1.90%,4.90%,0.20%,3.50%,9.20%
MOSQUITO REPELLANTS CTG (8/93),PRE-POST WASH PRODUCTS,1.90%,3.30%,0.20%,5.10%,9.20%
MOSQUITO REPELLANTS CTG (8/93),SHAMPOO - BY SEGMENTS,1.90%,4.30%,0.20%,5.40%,12.50%
NON-REFINED OILS   (9/93),PACKAGED ATTA (1/95),1.70%,8.70%,0.20%,2.90%,14.70%
PACKAGED ATTA (1/95),PACKAGED RICE (1/95),8.70%,1.20%,0.20%,21.30%,2.90%
PACKAGED ATTA (1/95),PRICKLY HEAT POWDER,8.70%,0.80%,0.20%,25.00%,2.30%
PACKAGED ATTA (1/95),TOOTH BRUSH   (7/93),8.70%,1.60%,0.20%,14.70%,2.70%
PACKAGED ATTA (1/95),VANASPATI CONS PACK (8/94),8.70%,1.00%,0.20%,17.20%,2.00%
PACKAGED PURE GHEE,PACKAGED RICE (1/95),4.90%,1.20%,0.20%,17.30%,4.20%
PACKAGED PURE GHEE,SANITARY NAPKINS,4.90%,2.90%,0.20%,7.50%,4.50%
PACKAGED PURE GHEE,SCOURING PADS/SCRUBS,4.90%,1.70%,0.20%,9.40%,3.20%
PACKAGED PURE GHEE,SQSH CRDLS & SFT DRNK-CONVERTD,4.90%,1.90%,0.20%,12.50%,4.80%
PACKAGED PURE GHEE,TALCUM POWDERS,4.90%,1.70%,0.20%,9.20%,3.20%
PACKAGED RICE (1/95),TOILET SOAPS (04/00),1.20%,11.80%,0.20%,2.10%,21.30%
PACKAGED RICE (1/95),TOOTH PASTES,1.20%,9.10%,0.20%,1.70%,13.30%
PACKAGED TEA,PRICKLY HEAT POWDER,13.30%,0.80%,0.20%,23.10%,1.40%
PACKAGED TEA,SUGAR SUBSTITUTE (11/05),13.30%,0.40%,0.20%,53.60%,1.80%
PACKAGED TEA,VANASPATI CONS PACK (8/94),13.30%,1.00%,0.20%,17.20%,1.30%
PRE-POST WASH PRODUCTS,READY TO EAT,3.30%,3.90%,0.20%,5.60%,6.50%
PRE-POST WASH PRODUCTS,SCOURING PADS/SCRUBS,3.30%,1.70%,0.20%,10.40%,5.10%
PRE-POST WASH PRODUCTS,SKIN CREAMS,3.30%,4.00%,0.20%,4.70%,5.60%
PRE-POST WASH PRODUCTS,SQSH CRDLS & SFT DRNK-CONVERTD,3.30%,1.90%,0.20%,10.80%,6.10%
PRE-POST WASH PRODUCTS,TALCUM POWDERS,3.30%,1.70%,0.20%,11.90%,6.10%
PRICKLY HEAT POWDER,VERMICELLI & NOODLE,0.80%,17.20%,0.20%,0.90%,19.20%
READY TO EAT,SHAMPOO - BY SEGMENTS,3.90%,4.30%,0.20%,5.10%,5.60%
REFINED EDIBLE OILS-ALL PACKS,SHAVING PREPARATIONS,12.40%,0.50%,0.20%,28.60%,1.30%
REFINED EDIBLE OILS-ALL PACKS,VANASPATI CONS PACK (8/94),12.40%,1.00%,0.20%,21.90%,1.80%
RUBEFACIENT,SPICES (03/04),0.60%,15.40%,0.20%,1.10%,28.20%
RUBEFACIENT,TOILET SOAPS (04/00),0.60%,11.80%,0.20%,1.70%,33.30%
RUBEFACIENT,VERMICELLI & NOODLE,0.60%,17.20%,0.20%,1.10%,30.80%
RUBEFACIENT,WASHING POWDERS/LIQUIDS,0.60%,14.40%,0.20%,1.10%,25.60%
SALTY SNACKS (2/97),TWIN BLADES,20.10%,0.50%,0.20%,37.20%,1.00%
SALTY SNACKS (2/97),VANASPATI CONS PACK (8/94),20.10%,1.00%,0.20%,17.20%,0.80%
SANITARY NAPKINS,SHAMPOO - BY SEGMENTS,2.90%,4.30%,0.20%,4.70%,7.00%
SANITARY NAPKINS,SKIN CREAMS,2.90%,4.00%,0.20%,6.30%,8.60%
SANITARY NAPKINS,TOOTH PASTES,2.90%,9.10%,0.20%,2.40%,7.50%
SCOURING PADS/SCRUBS,SHAMPOO - BY SEGMENTS,1.70%,4.30%,0.20%,4.00%,10.40%
SCOURING PADS/SCRUBS,SKIN CREAMS,1.70%,4.00%,0.20%,4.70%,11.30%
SHAMPOO - BY SEGMENTS,TALCUM POWDERS,4.30%,1.70%,0.20%,11.00%,4.30%
SHAVING PREPARATIONS,TOILET SOAPS (04/00),0.50%,11.80%,0.20%,1.40%,31.40%
SHAVING PREPARATIONS,TOOTH PASTES,0.50%,9.10%,0.20%,1.90%,31.40%
SHAVING PREPARATIONS,VERMICELLI & NOODLE,0.50%,17.20%,0.20%,1.00%,31.40%
SKIN CREAMS,TOOTH BRUSH   (7/93),4.00%,1.60%,0.20%,9.80%,3.90%
SOAP CAKES/BARS,SPICES (03/04),0.80%,15.40%,0.20%,1.40%,28.00%
SOAP CAKES/BARS,TOOTH PASTES,0.80%,9.10%,0.20%,2.60%,30.00%
SOAP CAKES/BARS,VERMICELLI & NOODLE,0.80%,17.20%,0.20%,0.90%,20.00%
SUGAR SUBSTITUTE (11/05),WASHING POWDERS/LIQUIDS,0.40%,14.40%,0.20%,1.10%,35.70%
TALCUM POWDERS,TOOTH BRUSH   (7/93),1.70%,1.60%,0.20%,9.80%,9.20%
TOOTH PASTES,VANASPATI CONS PACK (8/94),9.10%,1.00%,0.20%,23.40%,2.60%
TWIN BLADES,WASHING POWDERS/LIQUIDS,0.50%,14.40%,0.20%,1.10%,28.60%
VANASPATI CONS PACK (8/94),VERMICELLI & NOODLE,1.00%,17.20%,0.20%,1.00%,17.20%
VANASPATI CONS PACK (8/94),WASHING POWDERS/LIQUIDS,1.00%,14.40%,0.20%,1.50%,21.90%
AGARBATTI & DHOOPBATTI,ALL AIR FRESHNERS(01/03),1.80%,1.20%,0.10%,5.10%,3.50%
AGARBATTI & DHOOPBATTI,ALL IODISED SALT,1.80%,6.80%,0.10%,2.10%,7.90%
AGARBATTI & DHOOPBATTI,ANTISEPTIC LIQUIDS (4/97),1.80%,1.10%,0.10%,10.30%,6.10%
AGARBATTI & DHOOPBATTI,BEVERAGES,1.80%,2.90%,0.10%,2.20%,3.50%
AGARBATTI & DHOOPBATTI,BREAKFAST CEREALS,1.80%,4.90%,0.10%,2.20%,6.10%
AGARBATTI & DHOOPBATTI,CLEANERS - FLOOR,1.80%,4.20%,0.10%,3.00%,7.00%
AGARBATTI & DHOOPBATTI,CLEANERS - TOILET,1.80%,2.60%,0.10%,3.70%,5.30%
AGARBATTI & DHOOPBATTI,COFFEE,1.80%,2.50%,0.10%,5.00%,7.00%
AGARBATTI & DHOOPBATTI,CONFECTIONERY - LOLLIPOP/FMR,1.80%,0.70%,0.10%,9.10%,3.50%
AGARBATTI & DHOOPBATTI,CONFECTIONERY - TOFFEE/HBC,1.80%,4.20%,0.10%,1.50%,3.50%
AGARBATTI & DHOOPBATTI,"FRAGRANCE-PERFUM,DEO & COLOGNE",1.80%,1.70%,0.10%,3.60%,3.50%
AGARBATTI & DHOOPBATTI,HAIR DYES     (1/76),1.80%,3.00%,0.10%,2.10%,3.50%
AGARBATTI & DHOOPBATTI,HAIR OILS PKTP(8/02),1.80%,3.00%,0.10%,2.10%,3.50%
AGARBATTI & DHOOPBATTI,HOME INSECTICIDES CTG  (8/93),1.80%,1.80%,0.10%,3.50%,3.50%
AGARBATTI & DHOOPBATTI,KETCHUPS/SAUCES,1.80%,5.00%,0.10%,2.80%,7.90%
AGARBATTI & DHOOPBATTI,LIQUID TOILET SOAPS  (8/93),1.80%,2.30%,0.10%,6.20%,7.90%
AGARBATTI & DHOOPBATTI,MILK POWDERS,1.80%,1.70%,0.10%,3.70%,3.50%
AGARBATTI & DHOOPBATTI,MOSQUITO REPELLANTS CTG (8/93),1.80%,1.90%,0.10%,3.30%,3.50%
AGARBATTI & DHOOPBATTI,PACKAGED RICE (1/95),1.80%,1.20%,0.10%,5.30%,3.50%
AGARBATTI & DHOOPBATTI,PRE-POST WASH PRODUCTS,1.80%,3.30%,0.10%,3.30%,6.10%
AGARBATTI & DHOOPBATTI,READY TO EAT,1.80%,3.90%,0.10%,1.60%,3.50%
AGARBATTI & DHOOPBATTI,SANITARY NAPKINS,1.80%,2.90%,0.10%,3.20%,5.30%
AGARBATTI & DHOOPBATTI,SCOURING PADS/SCRUBS,1.80%,1.70%,0.10%,7.50%,7.00%
AGARBATTI & DHOOPBATTI,SHAMPOO - BY SEGMENTS,1.80%,4.30%,0.10%,2.90%,7.00%
AGARBATTI & DHOOPBATTI,TALCUM POWDERS,1.80%,1.70%,0.10%,6.40%,6.10%
ALL AIR FRESHNERS(01/03),BEVERAGES,1.20%,2.90%,0.10%,2.70%,6.40%
ALL AIR FRESHNERS(01/03),BREAKFAST CEREALS,1.20%,4.90%,0.10%,1.60%,6.40%
ALL AIR FRESHNERS(01/03),BUTTER MARGR  (4/94),1.20%,7.80%,0.10%,1.80%,11.50%
ALL AIR FRESHNERS(01/03),COCONUT OIL PKTYP (08/02),1.20%,4.20%,0.10%,2.90%,10.30%
ALL AIR FRESHNERS(01/03),COFFEE,1.20%,2.50%,0.10%,3.10%,6.40%
ALL AIR FRESHNERS(01/03),DETERGENT CAKES/BARS,1.20%,4.90%,0.10%,2.90%,11.50%
ALL AIR FRESHNERS(01/03),"FRAGRANCE-PERFUM,DEO & COLOGNE",1.20%,1.70%,0.10%,3.60%,5.10%
ALL AIR FRESHNERS(01/03),HOME INSECTICIDES CTG  (8/93),1.20%,1.80%,0.10%,4.30%,6.40%
ALL AIR FRESHNERS(01/03),KETCHUPS/SAUCES,1.20%,5.00%,0.10%,2.50%,10.30%
ALL AIR FRESHNERS(01/03),LIQUID TOILET SOAPS  (8/93),1.20%,2.30%,0.10%,4.10%,7.70%
ALL AIR FRESHNERS(01/03),PACKAGED PURE GHEE,1.20%,4.90%,0.10%,2.20%,9.00%
ALL AIR FRESHNERS(01/03),PRICKLY HEAT POWDER,1.20%,0.80%,0.10%,7.70%,5.10%
ALL AIR FRESHNERS(01/03),SCOURING PADS/SCRUBS,1.20%,1.70%,0.10%,4.70%,6.40%
ALL AIR FRESHNERS(01/03),SHAMPOO - BY SEGMENTS,1.20%,4.30%,0.10%,2.20%,7.70%
ALL AIR FRESHNERS(01/03),SKIN CREAMS,1.20%,4.00%,0.10%,1.60%,5.10%
ALL AIR FRESHNERS(01/03),SOAP CAKES/BARS,1.20%,0.80%,0.10%,8.00%,5.10%
ALL AIR FRESHNERS(01/03),TALCUM POWDERS,1.20%,1.70%,0.10%,6.40%,9.00%
ALL AIR FRESHNERS(01/03),TOOTH BRUSH   (7/93),1.20%,1.60%,0.10%,4.90%,6.40%
ALL IODISED SALT,ANTACIDS,6.80%,1.00%,0.10%,6.50%,0.90%
ALL IODISED SALT,ANTISEPTIC LIQUIDS (4/97),6.80%,1.10%,0.10%,13.20%,2.10%
ALL IODISED SALT,CLEANERS - GLASS,6.80%,0.40%,0.10%,18.50%,1.10%
ALL IODISED SALT,CONFECTIONERY - ECLAIRS,6.80%,1.10%,0.10%,5.60%,0.90%
ALL IODISED SALT,CONFECTIONERY - TOTAL GUM,6.80%,1.10%,0.10%,6.90%,1.10%
ALL IODISED SALT,DIAPERS       (8/93),6.80%,2.40%,0.10%,5.30%,1.80%
ALL IODISED SALT,"FRAGRANCE-PERFUM,DEO & COLOGNE",6.80%,1.70%,0.10%,8.20%,2.10%
ALL IODISED SALT,GLUCOSE POWDER & TABLET,6.80%,0.90%,0.10%,9.10%,1.10%
ALL IODISED SALT,HAIR CONDITIONERS,6.80%,0.90%,0.10%,8.60%,1.10%
ALL IODISED SALT,MILK POWDERS,6.80%,1.70%,0.10%,6.50%,1.60%
ALL IODISED SALT,PALMOLEIN REFINED OIL (01/03),6.80%,0.20%,0.10%,25.00%,0.90%
ALL IODISED SALT,PRICKLY HEAT POWDER,6.80%,0.80%,0.10%,17.30%,2.10%
ALL IODISED SALT,SOAP CAKES/BARS,6.80%,0.80%,0.10%,8.00%,0.90%
ALL IODISED SALT,VANASPATI CONS PACK (8/94),6.80%,1.00%,0.10%,14.10%,2.10%
ANTACIDS,BUTTER MARGR  (4/94),1.00%,7.80%,0.10%,1.20%,9.70%
ANTACIDS,CHEESE        (4/94),1.00%,3.70%,0.10%,2.10%,8.10%
ANTACIDS,CLEANERS - UTENSIL,1.00%,9.10%,0.10%,1.20%,11.30%
ANTACIDS,COCONUT OIL PKTYP (08/02),1.00%,4.20%,0.10%,1.50%,6.50%
ANTACIDS,DIAPERS       (8/93),1.00%,2.40%,0.10%,2.70%,6.50%
ANTACIDS,KETCHUPS/SAUCES,1.00%,5.00%,0.10%,1.60%,8.10%
ANTACIDS,PACKAGED ATTA (1/95),1.00%,8.70%,0.10%,1.40%,12.90%
ANTACIDS,PACKAGED PURE GHEE,1.00%,4.90%,0.10%,1.90%,9.70%
ANTACIDS,PACKAGED TEA,1.00%,13.30%,0.10%,0.80%,11.30%
ANTACIDS,READY TO EAT,1.00%,3.90%,0.10%,1.60%,6.50%
ANTACIDS,SALTY SNACKS (2/97),1.00%,20.10%,0.10%,0.40%,8.10%
ANTACIDS,SKIN CREAMS,1.00%,4.00%,0.10%,2.00%,8.10%
ANTACIDS,TOILET SOAPS (04/00),1.00%,11.80%,0.10%,0.90%,11.30%
ANTACIDS,TOOTH PASTES,1.00%,9.10%,0.10%,0.70%,6.50%
ANTACIDS,VERMICELLI & NOODLE,1.00%,17.20%,0.10%,0.70%,12.90%
ANTACIDS,WASHING POWDERS/LIQUIDS,1.00%,14.40%,0.10%,0.80%,11.30%
ANTISEPTIC LIQUIDS (4/97),BREAKFAST CEREALS,1.10%,4.90%,0.10%,1.30%,5.90%
ANTISEPTIC LIQUIDS (4/97),BUTTER MARGR  (4/94),1.10%,7.80%,0.10%,1.80%,13.20%
ANTISEPTIC LIQUIDS (4/97),CHEESE        (4/94),1.10%,3.70%,0.10%,2.50%,8.80%
ANTISEPTIC LIQUIDS (4/97),CLEANERS - TOILET,1.10%,2.60%,0.10%,4.90%,11.80%
ANTISEPTIC LIQUIDS (4/97),COCONUT OIL PKTYP (08/02),1.10%,4.20%,0.10%,2.60%,10.30%
ANTISEPTIC LIQUIDS (4/97),COFFEE,1.10%,2.50%,0.10%,2.50%,5.90%
ANTISEPTIC LIQUIDS (4/97),DETERGENT CAKES/BARS,1.10%,4.90%,0.10%,2.90%,13.20%
ANTISEPTIC LIQUIDS (4/97),HAIR OILS PKTP(8/02),1.10%,3.00%,0.10%,2.10%,5.90%
ANTISEPTIC LIQUIDS (4/97),HOME INSECTICIDES CTG  (8/93),1.10%,1.80%,0.10%,3.50%,5.90%
ANTISEPTIC LIQUIDS (4/97),KETCHUPS/SAUCES,1.10%,5.00%,0.10%,2.50%,11.80%
ANTISEPTIC LIQUIDS (4/97),LIQUID TOILET SOAPS  (8/93),1.10%,2.30%,0.10%,5.50%,11.80%
ANTISEPTIC LIQUIDS (4/97),PACKAGED ATTA (1/95),1.10%,8.70%,0.10%,1.30%,10.30%
ANTISEPTIC LIQUIDS (4/97),PACKAGED PURE GHEE,1.10%,4.90%,0.10%,1.60%,7.40%
ANTISEPTIC LIQUIDS (4/97),SCOURING PADS/SCRUBS,1.10%,1.70%,0.10%,4.70%,7.40%
ANTISEPTIC LIQUIDS (4/97),SHAMPOO - BY SEGMENTS,1.10%,4.30%,0.10%,2.50%,10.30%
ANTISEPTIC LIQUIDS (4/97),SKIN CREAMS,1.10%,4.00%,0.10%,2.40%,8.80%
ANTISEPTIC LIQUIDS (4/97),SQSH CRDLS & SFT DRNK-CONVERTD,1.10%,1.90%,0.10%,3.30%,5.90%
ANTISEPTIC LIQUIDS (4/97),TOOTH PASTES,1.10%,9.10%,0.10%,1.50%,13.20%
BABY FOODS,BISCUITS - CORE & NON CORE,0.20%,47.50%,0.10%,0.30%,72.70%
BATTERIES,BREAKFAST CEREALS,1.90%,4.90%,0.10%,2.50%,6.40%
BATTERIES,CLEANERS - TOILET,1.90%,2.60%,0.10%,3.70%,4.80%
BATTERIES,COCONUT OIL PKTYP (08/02),1.90%,4.20%,0.10%,2.60%,5.60%
BATTERIES,COFFEE,1.90%,2.50%,0.10%,3.10%,4.00%
BATTERIES,CONFECTIONERY - ECLAIRS,1.90%,1.10%,0.10%,7.00%,4.00%
BATTERIES,CONFECTIONERY - TOFFEE/HBC,1.90%,4.20%,0.10%,3.00%,6.40%
BATTERIES,JAMS/JELLY/MARMALADES-CTG,1.90%,1.70%,0.10%,3.70%,3.20%
BATTERIES,KETCHUPS/SAUCES,1.90%,5.00%,0.10%,2.20%,5.60%
BATTERIES,MOSQUITO REPELLANTS CTG (8/93),1.90%,1.90%,0.10%,4.20%,4.00%
BATTERIES,READY TO EAT,1.90%,3.90%,0.10%,2.80%,5.60%
BATTERIES,SANITARY NAPKINS,1.90%,2.90%,0.10%,2.70%,4.00%
BATTERIES,SHAMPOO - BY SEGMENTS,1.90%,4.30%,0.10%,2.50%,5.60%
BATTERIES,SKIN CREAMS,1.90%,4.00%,0.10%,2.00%,4.00%
BATTERIES,SQSH CRDLS & SFT DRNK-CONVERTD,1.90%,1.90%,0.10%,3.30%,3.20%
BEVERAGES,CLEANERS - FLOOR,2.90%,4.20%,0.10%,3.30%,4.90%
BEVERAGES,COCONUT OIL PKTYP (08/02),2.90%,4.20%,0.10%,2.90%,4.30%
BEVERAGES,COFFEE,2.90%,2.50%,0.10%,3.70%,3.20%
BEVERAGES,CONFECTIONERY - TOFFEE/HBC,2.90%,4.20%,0.10%,3.00%,4.30%
BEVERAGES,DIAPERS       (8/93),2.90%,2.40%,0.10%,4.60%,3.80%
BEVERAGES,HAIR OILS PKTP(8/02),2.90%,3.00%,0.10%,3.60%,3.80%
BEVERAGES,LIQUID TOILET SOAPS  (8/93),2.90%,2.30%,0.10%,4.10%,3.20%
BEVERAGES,SOAP CAKES/BARS,2.90%,0.80%,0.10%,8.00%,2.20%
BEVERAGES,SQSH CRDLS & SFT DRNK-CONVERTD,2.90%,1.90%,0.10%,4.20%,2.70%
BEVERAGES,TALCUM POWDERS,2.90%,1.70%,0.10%,4.60%,2.70%
BEVERAGES,TOOTH BRUSH   (7/93),2.90%,1.60%,0.10%,3.90%,2.20%
BISCUITS - CORE & NON CORE,CONFECTIONERY - COUGH LOZENGE,47.50%,0.40%,0.10%,34.80%,0.30%
BISCUITS - CORE & NON CORE,HAIR REMOVER,47.50%,0.10%,0.10%,57.20%,0.10%
BISCUITS - CORE & NON CORE,OLIVE OILS,47.50%,0.20%,0.10%,70.00%,0.20%
BISCUITS - CORE & NON CORE,OTHER SCOURERS,47.50%,0.20%,0.10%,57.10%,0.30%
BISCUITS - CORE & NON CORE,PALMOLEIN REFINED OIL (01/03),47.50%,0.20%,0.10%,31.20%,0.20%
BISCUITS - CORE & NON CORE,SAFETY RAZOR BLADES,47.50%,0.30%,0.10%,36.80%,0.20%
BISCUITS - CORE & NON CORE,SHOE POLISHES,47.50%,0.20%,0.10%,57.10%,0.30%
BLUES,CLEANERS - UTENSIL,0.30%,9.10%,0.10%,0.90%,23.80%
BLUES,PACKAGED ATTA (1/95),0.30%,8.70%,0.10%,0.70%,19.10%
BLUES,PACKAGED TEA,0.30%,13.30%,0.10%,0.70%,28.60%
BLUES,SALTY SNACKS (2/97),0.30%,20.10%,0.10%,0.50%,33.30%
BLUES,SPICES (03/04),0.30%,15.40%,0.10%,0.40%,19.10%
BLUES,TOOTH PASTES,0.30%,9.10%,0.10%,0.90%,23.80%
BLUES,VERMICELLI & NOODLE,0.30%,17.20%,0.10%,0.40%,19.10%
BLUES,WASHING POWDERS/LIQUIDS,0.30%,14.40%,0.10%,0.90%,38.10%
BREAKFAST CEREALS,CONFECTIONERY - ECLAIRS,4.90%,1.10%,0.10%,8.50%,1.90%
BREAKFAST CEREALS,DIAPERS       (8/93),4.90%,2.40%,0.10%,4.60%,2.20%
BREAKFAST CEREALS,HAIR DYES     (1/76),4.90%,3.00%,0.10%,4.70%,2.90%
BREAKFAST CEREALS,HOME INSECTICIDES CTG  (8/93),4.90%,1.80%,0.10%,7.80%,2.90%
BREAKFAST CEREALS,JAMS/JELLY/MARMALADES-CTG,4.90%,1.70%,0.10%,3.70%,1.30%
BREAKFAST CEREALS,MILK POWDERS,4.90%,1.70%,0.10%,4.60%,1.60%
BREAKFAST CEREALS,NON-REFINED OILS   (9/93),4.90%,1.70%,0.10%,5.50%,1.90%
BREAKFAST CEREALS,PACKAGED RICE (1/95),4.90%,1.20%,0.10%,6.70%,1.60%
BREAKFAST CEREALS,SANITARY NAPKINS,4.90%,2.90%,0.10%,3.80%,2.20%
BREAKFAST CEREALS,SCOURING PADS/SCRUBS,4.90%,1.70%,0.10%,4.70%,1.60%
BREAKFAST CEREALS,SHAVING PREPARATIONS,4.90%,0.50%,0.10%,11.40%,1.30%
BREAKFAST CEREALS,SOAP CAKES/BARS,4.90%,0.80%,0.10%,10.00%,1.60%
BREAKFAST CEREALS,SQSH CRDLS & SFT DRNK-CONVERTD,4.90%,1.90%,0.10%,5.80%,2.20%
BREAKFAST CEREALS,TALCUM POWDERS,4.90%,1.70%,0.10%,6.40%,2.20%
BREAKFAST CEREALS,VANASPATI CONS PACK (8/94),4.90%,1.00%,0.10%,7.80%,1.60%
BUTTER MARGR  (4/94),CLEANERS - GLASS,7.80%,0.40%,0.10%,25.90%,1.40%
BUTTER MARGR  (4/94),CONFECTIONERY - ECLAIRS,7.80%,1.10%,0.10%,12.70%,1.80%
BUTTER MARGR  (4/94),CONFECTIONERY - LOLLIPOP/FMR,7.80%,0.70%,0.10%,15.90%,1.40%
BUTTER MARGR  (4/94),CONFECTIONERY - TOTAL GUM,7.80%,1.10%,0.10%,9.70%,1.40%
BUTTER MARGR  (4/94),GLUCOSE POWDER & TABLET,7.80%,0.90%,0.10%,9.10%,1.00%
BUTTER MARGR  (4/94),HAIR CONDITIONERS,7.80%,0.90%,0.10%,10.30%,1.20%
BUTTER MARGR  (4/94),HOME INSECTICIDES CTG  (8/93),7.80%,1.80%,0.10%,7.80%,1.80%
BUTTER MARGR  (4/94),PRICKLY HEAT POWDER,7.80%,0.80%,0.10%,13.50%,1.40%
BUTTER MARGR  (4/94),RUBEFACIENT,7.80%,0.60%,0.10%,18.00%,1.40%
BUTTER MARGR  (4/94),SHAVING PREPARATIONS,7.80%,0.50%,0.10%,14.30%,1.00%
BUTTER MARGR  (4/94),SUGAR SUBSTITUTE (11/05),7.80%,0.40%,0.10%,14.30%,0.80%
CHEESE        (4/94),CONFECTIONERY - ECLAIRS,3.70%,1.10%,0.10%,7.00%,2.10%
CHEESE        (4/94),CONFECTIONERY - LOLLIPOP/FMR,3.70%,0.70%,0.10%,9.10%,1.70%
CHEESE        (4/94),CONFECTIONERY - TOTAL GUM,3.70%,1.10%,0.10%,11.10%,3.30%
CHEESE        (4/94),DIAPERS       (8/93),3.70%,2.40%,0.10%,5.30%,3.30%
CHEESE        (4/94),"FRAGRANCE-PERFUM,DEO & COLOGNE",3.70%,1.70%,0.10%,8.20%,3.80%
CHEESE        (4/94),GLUCOSE POWDER & TABLET,3.70%,0.90%,0.10%,14.50%,3.30%
CHEESE        (4/94),HAIR OILS PKTP(8/02),3.70%,3.00%,0.10%,3.60%,2.90%
CHEESE        (4/94),HOME INSECTICIDES CTG  (8/93),3.70%,1.80%,0.10%,5.20%,2.50%
CHEESE        (4/94),MOSQUITO REPELLANTS CTG (8/93),3.70%,1.90%,0.10%,5.80%,2.90%
CHEESE        (4/94),NON-REFINED OILS   (9/93),3.70%,1.70%,0.10%,4.60%,2.10%
